village_id	village_setting_item_code	village_setting_text
6	term_type	long
6	day_change_interval_seconds	86400
6	is_open_vote	1
6	is_available_skill_request	1
6	is_available_spectate	0
6	is_open_skill_in_grave	0
6	is_visible_grave_message	0
6	is_available_suddenly_death	0
6	is_available_commit	0
6	character_group_id	1
6	join_password	""
6	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
7	person_min	8
7	person_max	17
7	dummy_chara_id	1
7	start_datetime	2018-03-12 00:00:00
7	term_type	long
7	day_change_interval_seconds	86400
7	is_open_vote	1
7	is_available_skill_request	1
7	is_available_spectate	0
7	is_open_skill_in_grave	0
7	is_visible_grave_message	0
7	is_available_suddenly_death	0
7	is_available_commit	0
7	character_group_id	1
7	join_password	""
7	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
8	person_min	8
8	person_max	17
8	dummy_chara_id	1
8	start_datetime	2018-03-12 00:00:00
8	term_type	long
8	day_change_interval_seconds	86400
8	is_open_vote	1
8	is_available_skill_request	1
8	is_available_spectate	0
8	is_open_skill_in_grave	0
8	is_visible_grave_message	0
8	is_available_suddenly_death	0
8	is_available_commit	0
8	character_group_id	1
8	join_password	""
8	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
9	person_min	8
9	person_max	17
9	dummy_chara_id	1
9	start_datetime	2018-03-12 00:00:00
9	term_type	long
9	day_change_interval_seconds	86400
9	is_open_vote	1
9	is_available_skill_request	1
9	is_available_spectate	0
9	is_open_skill_in_grave	0
9	is_visible_grave_message	0
9	is_available_suddenly_death	0
9	is_available_commit	0
9	character_group_id	1
9	join_password	""
9	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
10	person_min	8
10	person_max	17
10	dummy_chara_id	1
10	start_datetime	2018-03-12 00:00:00
10	term_type	long
10	day_change_interval_seconds	86400
10	is_open_vote	1
10	is_available_skill_request	1
10	is_available_spectate	0
10	is_open_skill_in_grave	0
10	is_visible_grave_message	0
10	is_available_suddenly_death	0
10	is_available_commit	0
10	character_group_id	1
10	join_password	""
10	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
11	person_min	8
11	person_max	17
11	dummy_chara_id	1
11	start_datetime	2018-03-12 00:00:00
11	term_type	long
11	day_change_interval_seconds	86400
11	is_open_vote	1
11	is_available_skill_request	1
11	is_available_spectate	0
11	is_open_skill_in_grave	0
11	is_visible_grave_message	0
11	is_available_suddenly_death	0
11	is_available_commit	0
11	character_group_id	1
11	join_password	""
11	organize	"狼狼占霊村村村村
狼狼占霊村村村村村
狼狼狂占霊狩村村村村
狼狼狂占霊狩村村村村村
狼狼狂占霊狩村村村村共共
狼狼狼狂占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村共共
狼狼狼狂狐占霊狩村村村村村共共
狼狼狼狂狐占霊狩村村村村村村共共
狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村共共
狼狼狼狼狂狐占霊狩村村村村村村村村村共共"
